id,titre,artiste,album,annee,genre,duree_sec,ecoutes
341,Titanium (Acoustic Version),David Guetta,Album 1 - David Guetta,2024,ELECTRONIC,284,66814
342,When Love Takes Over,David Guetta,Album 2 - David Guetta,2002,ELECTRONIC,204,415569
343,Memories (Remastered),David Guetta,Album 3 - David Guetta,2025,ELECTRONIC,219,407234
344,Play Hard,David Guetta,Album 4 - David Guetta,2025,ELECTRONIC,333,256658
345,Without You,David Guetta,Album 5 - David Guetta,1978,ELECTRONIC,293,356224
346,Hey Mama,David Guetta,Album 6 - David Guetta,2023,ELECTRONIC,233,191207
347,Turn Me On,David Guetta,Album 7 - David Guetta,2011,ELECTRONIC,250,279789
348,2U,David Guetta,Album 8 - David Guetta,2009,ELECTRONIC,335,283140
349,Flames,David Guetta,Album 9 - David Guetta,1982,ELECTRONIC,188,318623
350,Love Is Gone,David Guetta,Album 10 - David Guetta,2005,ELECTRONIC,330,80772
351,Alors on danse,Stromae,Album 1 - Stromae,2016,ELECTRONIC,186,69316
352,Papaoutai,Stromae,Album 2 - Stromae,2021,ELECTRONIC,358,419487
353,Formidable,Stromae,Album 3 - Stromae,2012,ELECTRONIC,296,32522
354,Tous les mêmes,Stromae,Album 4 - Stromae,2021,ELECTRONIC,320,454229
355,L’enfer,Stromae,Album 5 - Stromae,1972,ELECTRONIC,221,414431
356,Santé,Stromae,Album 6 - Stromae,1989,ELECTRONIC,359,94340
357,Carmen,Stromae,Album 7 - Stromae,1978,ELECTRONIC,218,283782
358,Ave Cesaria,Stromae,Album 8 - Stromae,2014,ELECTRONIC,241,67603
359,Quand c’est,Stromae,Album 9 - Stromae,1999,ELECTRONIC,193,98317
360,Te Quiero,Stromae,Album 10 - Stromae,2014,ELECTRONIC,163,394428
361,Hips Dont Lie,Shakira,Album 1 - Shakira,1981,POP,324,81187
362,Waka Waka,Shakira,Album 2 - Shakira,1996,POP,314,327026
363,Whenever Wherever,Shakira,Album 3 - Shakira,2001,POP,289,15709
364,Underneath Your Clothes,Shakira,Album 4 - Shakira,1989,POP,206,270286
365,La Tortura,Shakira,Album 5 - Shakira,1993,POP,288,48728
366,Beautiful Liar,Shakira,Album 6 - Shakira,1999,POP,324,392220
367,Try Everything,Shakira,Album 7 - Shakira,1996,POP,189,472428
368,Empire,Shakira,Album 8 - Shakira,1990,POP,187,375269
369,Me Enamoré,Shakira,Album 9 - Shakira,2002,POP,160,247354
370,Loca,Shakira,Album 10 - Shakira,1970,POP,164,50127
371,All of Me,John Legend,Album 1 - John Legend,1992,RNB,300,442914
372,Ordinary People,John Legend,Album 2 - John Legend,2015,RNB,328,426985
373,Tonight,John Legend,Album 3 - John Legend,2022,RNB,215,172871
374,Save Room,John Legend,Album 4 - John Legend,2018,RNB,157,86383
375,Green Light,John Legend,Album 5 - John Legend,2002,RNB,198,456152
376,Love Me Now,John Legend,Album 6 - John Legend,2022,RNB,173,222190
377,You and I,John Legend,Album 7 - John Legend,2012,RNB,260,105061
378,Conversations in the Dark,John Legend,Album 8 - John Legend,2023,RNB,193,126916
379,Everybody Knows,John Legend,Album 9 - John Legend,1984,RNB,319,259790
380,Glory,John Legend,Album 10 - John Legend,1983,RNB,245,83606
381,Everlong,Foo Fighters,Album 1 - Foo Fighters,2004,ROCK,258,378569
382,The Pretender,Foo Fighters,Album 2 - Foo Fighters,1997,ROCK,267,449378
383,Best of You,Foo Fighters,Album 3 - Foo Fighters,1993,ROCK,330,110171
384,Learn to Fly,Foo Fighters,Album 4 - Foo Fighters,1989,ROCK,311,387638
385,Times Like These,Foo Fighters,Album 5 - Foo Fighters,1998,ROCK,293,318537
386,My Hero,Foo Fighters,Album 6 - Foo Fighters,2000,ROCK,173,461197
387,Walk,Foo Fighters,Album 7 - Foo Fighters,1983,ROCK,339,102970
388,All My Life,Foo Fighters,Album 8 - Foo Fighters,1977,ROCK,343,41823
389,Monkey Wrench,Foo Fighters,Album 9 - Foo Fighters,1992,ROCK,332,356503
390,The Sky Is a Neighborhood,Foo Fighters,Album 10 - Foo Fighters,2009,ROCK,326,83372
391,Uprising,Muse,Album 1 - Muse,1977,ROCK,194,107228
392,Starlight,Muse,Album 2 - Muse,2011,ROCK,260,99747
393,Supermassive Black Hole,Muse,Album 3 - Muse,1997,ROCK,157,287234
394,Time Is Running Out,Muse,Album 4 - Muse,1979,ROCK,315,470143
395,Madness,Muse,Album 5 - Muse,2010,ROCK,352,141392
396,Hysteria,Muse,Album 6 - Muse,1988,ROCK,339,191984
397,Plug In Baby,Muse,Album 7 - Muse,1995,ROCK,152,250362
398,Knights of Cydonia,Muse,Album 8 - Muse,2003,ROCK,267,465405
399,Psycho,Muse,Album 9 - Muse,1987,ROCK,240,256442
400,Resistance,Muse,Album 10 - Muse,1978,ROCK,177,416434
